,summary key,roberta,llama
0,1344253,805,777
1,1486573,1418,1428
2,5991505,864,868
3,605676,1385,1358
4,28327,1457,1467
5,1252914,991,996
6,54166,965,968
7,81503,910,913
8,253828,1361,1344
9,10193,1181,1176
10,91133,1048,1044
11,5313,934,956
12,525270,867,853
13,45772,685,691
14,152328,776,775
15,13734892,754,743
16,4440277,854,871
17,2080169,1519,1516
18,5095233,853,853
19,8067478,974,973
20,1126401,772,764
21,3463364,812,787
22,442300,1056,1067
23,75270,410,405
24,2912982,1311,1312
25,284697,760,763
26,3746,913,895
27,279813,785,777
28,1122030,634,627
29,23535297,801,799
30,670226,857,856
31,3394852,159,159
32,14291637,503,508
33,1204925,376,377
34,689969,1158,1169
35,18640305,1290,1281
36,7887331,1134,1110
37,24870348,648,647
38,2158983,862,869
39,574768,384,373
40,4231,627,628
41,19221106,729,723
42,1232511,644,641
43,2073069,408,400
44,3748765,623,622
45,14482638,795,789
46,1882947,405,401
47,3703666,998,999
48,24480838,867,871
49,200694,940,941
50,1283050,1012,1012
51,60293,744,720
52,598397,832,837
53,5838045,1072,1074
54,312757,658,641
55,932424,1590,1591
56,3226774,1305,1315
57,930379,794,778
58,30000,662,663
59,55447,892,905
60,1533664,927,923
61,7369863,1240,1240
62,23270459,1309,1334
63,323715,1749,1762
64,24195690,911,897
65,57820,722,741
66,999394,846,855
67,2157292,918,930
68,2809621,1182,1189
69,5676692,959,945
70,12673434,796,788
71,1339563,1162,1183
72,188902,1242,1251
73,3201442,522,524
74,615418,805,797
75,690042,949,942
76,1137578,481,473
77,76018,775,775
78,1485962,909,912
79,770144,1215,1201
80,76366,1011,1015
81,3947,1140,1133
82,885876,963,962
83,215873,826,829
84,619728,1058,1061
85,483745,984,981
86,239009,865,837
87,972958,1083,1082
88,30007,848,867
89,963986,974,975
90,445066,785,800
91,999394,846,855
92,1689394,1803,1807
93,583932,1034,1044
94,213472,934,946
95,68092,1107,1098
96,1519783,1134,1133
97,1129847,1062,1082
98,76018,775,775
99,243064,564,561
100,4867859,798,808
101,60164,779,779
102,8737659,872,888
103,2406759,1123,1117
104,11942501,844,852
105,13734892,754,743
106,312757,658,641
107,11244593,799,795
108,18949667,1048,1050
109,961437,1220,1224
110,1152416,592,592
111,277713,451,452
112,893808,1023,1022
113,253828,1361,1344
114,23255,1286,1294
115,525113,944,948
116,28269,1094,1089
117,25506,998,1000
118,3654363,433,433
119,3823100,922,927
120,133688,1231,1236
121,3175656,927,911
122,308898,861,853
123,25491,696,689
124,594295,707,711
125,142457,583,573
126,267848,1052,1050
127,924767,662,664
128,695780,909,910
129,64394,1012,1020
130,543162,529,524
131,2423428,1510,1516
132,142481,1116,1118
133,301314,739,745
134,23767889,1093,1096
135,1673949,819,818
136,1094719,831,834
137,1670736,401,406
138,21843425,876,852
139,77223,972,968
140,189088,1315,1322
141,101954,1195,1203
142,535335,914,916
143,20450767,922,922
144,25854460,830,833
145,4138142,1098,1064
146,15398161,606,603
147,594240,769,766
148,30006,869,864
149,234537,845,841
150,29943,437,441
151,88326,1074,1071
152,129493,946,949
153,5215066,698,690
154,171623,1199,1211
155,5549932,1168,1200
156,1349086,820,827
157,63504,825,839
158,11288620,635,631
159,10133217,1229,1220
160,1238102,1152,1153
161,105872,862,857
162,1120730,1114,1110
163,28485791,830,830
164,28370864,1612,1617
165,477099,931,915
166,2864621,986,991
167,5752544,922,922
168,42993,906,934
169,737803,797,796
170,481293,582,582
171,21918632,731,728
172,11701,864,867
173,706803,743,740
174,560511,743,745
175,1596524,780,786
176,23913058,1551,1547
177,3339200,1390,1392
178,2486990,1608,1606
179,880056,976,974
180,17916735,772,773
181,911882,855,854
182,201553,1571,1568
183,201553,1571,1568
184,284619,580,579
185,25491,696,689
186,1883157,745,742
187,18952889,1856,1851
188,3837,846,838
189,31153,963,956
190,171522,785,784
191,348292,959,972
192,91133,1048,1044
193,53964,1035,1042
194,173941,1104,1114
195,198313,1249,1225
196,1749093,821,831
197,11659396,1037,1044
198,1179306,228,227
199,1784731,1238,1205
200,620034,749,760
201,230481,606,610
202,5318353,834,846
203,2571385,902,901
204,3616797,853,857
205,194249,1590,1587
